unique_id,cutoff,metric,SeasonalNaive,Naive,AutoETS,AutoARIMA,XGBRegressor,LGBMRegressor,NBEATS,NHITS,TimeGPT
hotel_70,2023-04-07,mape,0.39002255102588695,0.2159995675188155,0.23422065693442592,0.18098384267019305,0.3069551187470874,0.3522065366613775,0.25188015895279725,0.2646403814303048,
hotel_84,2023-04-07,mape,0.2699323567446967,0.2242797367856388,0.21287371215867612,0.20801842556221453,0.2280795613958168,0.23309362387850024,0.18202165703138257,0.18100170832354515,
hotel_91,2023-04-07,mape,0.3548684331867369,0.5028968622030794,0.4487819732783932,0.3634692437285697,0.2990276082824295,0.30585338929653066,0.3324649133848284,0.3712290947781303,
hotel_98,2023-04-07,mape,0.6708126040329595,1.6407466621156153,1.064992810126912,0.5484617916685406,0.8895536833850745,0.9604296228710628,0.4384317553874696,0.40351239099028985,
hotel_0,2023-05-05,mape,0.3429710839183072,0.5283547081290519,0.3350478588119115,0.36693254937599906,0.394107658527398,0.38488028563770615,0.28178135881539,0.32520747687415186,0.176689142596759
hotel_105,2023-05-05,mape,0.17942638241154377,0.08800326371927973,0.14210414077721806,0.12061832313633158,0.11643705868279676,0.1135671025592226,0.10516720506742219,0.11209378979849484,0.0870504790355251
hotel_112,2023-05-05,mape,0.12632197147036622,0.21170551611822222,0.13742447029445592,0.11529614626046962,0.10607552941745033,0.0963736561030127,0.10142660006725204,0.09692316889427821,0.0638803214713179
hotel_126,2023-05-05,mape,0.027840461044994103,0.0250063554008711,0.04200216227760516,0.027641568741943186,0.04566596459554834,0.04331266748671305,0.028344481508252778,0.026613001819007925,0.04115497150480583
hotel_133,2023-05-05,mape,0.10685528770870402,0.1274317581628723,0.07236272923344192,0.05538337806491782,0.06425723676580557,0.06294057806277248,0.05646651731627173,0.057959682143910375,0.042426387417410207
hotel_14,2023-05-05,mape,0.36799027014616087,0.5058749149887796,0.3197272773307,0.3066339784270379,0.4441205443994772,0.4128876928240488,0.40260703965133615,0.38639611436434074,0.19583881929073646
hotel_21,2023-05-05,mape,0.06040609355297124,0.07607673947252135,0.07322627753072901,0.0686656142699805,0.06024305316840835,0.059195596116758564,0.06532871352282547,0.06802905106069532,0.05344567535862276
hotel_28,2023-05-05,mape,,,,,,,,,
hotel_35,2023-05-05,mape,0.24509508993734846,0.13187069293827328,0.13637319006712686,0.11285913696731421,0.267581313288941,0.2289015787472035,0.20882077552495107,0.18966049026169762,0.03540498883463183
hotel_42,2023-05-05,mape,0.5670759299903428,0.8070984029906928,0.6610315301978524,0.46396605026529775,0.5616636275624527,0.5942453872466622,0.6305036494455997,0.6844351243643684,0.09923519212401612
hotel_49,2023-05-05,mape,0.16714168076106678,0.21902009118349547,0.16091024265152773,0.16934495119612455,0.36455476291153227,0.318282792562278,0.17115738539909597,0.17613314463146126,0.25467236542175276
hotel_56,2023-05-05,mape,0.1305763822363363,0.15663026335193458,0.1358375362590216,0.12442216935364499,0.1410813313070683,0.1351231998013705,0.12979825202298212,0.14134088838722636,0.10729362572647862
hotel_63,2023-05-05,mape,0.20289894176690706,0.29142511507386487,0.18189678078736163,0.21265678100971636,0.257751177658639,0.23717258807898922,0.18908653276258355,0.19407934743514071,0.10285599937704479
hotel_7,2023-05-05,mape,0.19346168149657497,0.3148885863958283,0.16282681350748812,0.1996285640700274,0.23253777220967042,0.2551037687098507,0.1767565138794041,0.18713084435394478,0.05852392168293028
hotel_70,2023-05-05,mape,0.2785830581147201,0.17619929340598256,0.2281401406256985,0.32516421308216353,0.20663806965880022,0.216358355046653,0.2196495417051468,0.21362884763568699,0.13551407099205273
hotel_84,2023-05-05,mape,0.1640274851781581,0.10979652632217143,0.14369365396708392,0.1182190642563848,0.10611745338653092,0.11271016082923303,0.11843865393328352,0.12629795195091945,0.07247543363346774
hotel_91,2023-05-05,mape,0.2783791659165415,0.08463580032316623,0.08025816051386159,0.18691965244530007,0.2305109308044099,0.2021078960151744,0.17341950295051795,0.13868548559665464,0.10124373335994487
