unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_105,2023-06-14,2023-06-02,0.9545915,0.97511363,1.0125786163522013
hotel_105,2023-06-15,2023-06-02,0.8934935,0.9609815,1.0188679245283019
hotel_105,2023-06-16,2023-06-02,0.9814739,0.9785188,0.9622641509433962
hotel_105,2023-06-17,2023-06-02,0.97443956,0.93837124,0.9245283018867925
hotel_105,2023-06-18,2023-06-02,0.8410822,0.8831644,0.9937106918238994
hotel_105,2023-06-19,2023-06-02,0.88482374,0.88029826,1.0062893081761006
hotel_105,2023-06-20,2023-06-02,0.99346554,0.9425028,1.0062893081761006
hotel_105,2023-06-21,2023-06-02,0.9722599,0.974842,1.0125786163522013
hotel_105,2023-06-22,2023-06-02,0.9186041,0.95883,1.0566037735849056
hotel_105,2023-06-23,2023-06-02,0.9543524,0.9603531,0.9874213836477987
hotel_105,2023-06-24,2023-06-02,0.95197403,0.9326569,0.9874213836477987
hotel_105,2023-06-25,2023-06-02,0.8554695,0.8733879,0.9937106918238994
hotel_105,2023-06-26,2023-06-02,0.9131368,0.88266957,1.0188679245283019
hotel_105,2023-06-27,2023-06-02,0.9873792,0.93829304,1.0314465408805031
hotel_105,2023-06-28,2023-06-02,0.9598639,0.95779496,1.0440251572327044
hotel_105,2023-06-29,2023-06-02,0.8920708,0.95165825,1.0062893081761006
hotel_105,2023-06-30,2023-06-02,0.9569484,0.95150346,1.0
hotel_112,2023-02-11,2023-02-10,0.90566653,0.91065216,0.75
hotel_112,2023-02-12,2023-02-10,0.9248056,0.8985401,0.93125
hotel_112,2023-02-13,2023-02-10,0.93957454,0.93939865,0.84375
hotel_112,2023-02-14,2023-02-10,0.96086305,0.96994823,0.8875
hotel_112,2023-02-15,2023-02-10,0.95015275,0.961739,0.84375
hotel_112,2023-02-16,2023-02-10,0.9364938,0.9450797,0.96875
hotel_112,2023-02-17,2023-02-10,0.92369413,0.9103974,0.99375
hotel_112,2023-02-18,2023-02-10,0.85353565,0.86143047,0.80625
hotel_112,2023-02-19,2023-02-10,0.8819529,0.88967234,0.61875
hotel_112,2023-02-20,2023-02-10,0.9270143,0.9415539,0.84375
hotel_112,2023-02-21,2023-02-10,0.97351336,0.9695295,0.76875
hotel_112,2023-02-22,2023-02-10,0.9418869,0.958013,0.65625
hotel_112,2023-02-23,2023-02-10,0.9267345,0.9465287,0.6625
hotel_112,2023-02-24,2023-02-10,0.91773295,0.9095883,0.86875
hotel_112,2023-02-25,2023-02-10,0.8487978,0.8450688,0.93125
hotel_112,2023-02-26,2023-02-10,0.8554731,0.8685145,0.84375
hotel_112,2023-02-27,2023-02-10,0.92363334,0.915569,0.875
hotel_112,2023-02-28,2023-02-10,0.9653997,0.95713186,0.9375
hotel_112,2023-03-01,2023-02-10,0.9612194,0.9529441,0.8875
hotel_112,2023-03-02,2023-02-10,0.94432634,0.9371766,0.7625
hotel_112,2023-03-03,2023-02-10,0.904929,0.8985506,0.81875
hotel_112,2023-03-04,2023-02-10,0.8395952,0.84372485,0.88125
hotel_112,2023-03-05,2023-02-10,0.86553246,0.8651508,0.90625
hotel_112,2023-03-06,2023-02-10,0.91730136,0.91664946,0.8875
hotel_112,2023-03-07,2023-02-10,0.9478664,0.9487544,0.79375
hotel_112,2023-03-08,2023-02-10,0.94741774,0.94356877,0.975
hotel_112,2023-03-09,2023-02-10,0.9240215,0.93553495,0.7875
hotel_112,2023-03-10,2023-02-10,0.9115045,0.8911031,0.925
